cntr_id,nuts_id,nuts_name,pop_2003,pop_obj1,pop_obj1_ph,pop_obj1_spec_pgm,pop_obj2,pop_obj2_ph,pop_obj2_ph_partly
DE,DE252,"Erlangen, Kreisfreie Stadt",102.306,0,0,0,0,0,0
DE,DE253,"Fürth, Kreisfreie Stadt",111.819,0,0,0,13.422,0,0
DE,DE254,"Nürnberg, Kreisfreie Stadt",493.39,0,0,0,68.91,0,0
DE,DE255,"Schwabach, Kreisfreie Stadt",38.603,0,0,0,0,0,0
DE,DE256,"Ansbach, Landkreis",184.118,0,0,0,0,184.118,0
DE,DE257,Erlangen-Höchstadt,130.536,0,0,0,0,0,0
DE,DE258,"Fürth, Landkreis",114.186,0,0,0,0,0,0
DE,DE259,Nürnberger Land,168.95,0,0,0,0,0,0
DE,DE25A,Neustadt a. d. Aisch-Bad Windsheim,99.676,0,0,0,0,99.676,0
DE,DE25B,Roth,125.479,0,0,0,0,101.445,24.034
DE,DE25C,Weißenburg-Gunzenhausen,95.272,0,0,0,0,77.586,17.686
DE,DE261,"Aschaffenburg, Kreisfreie Stadt",68.633,0,0,0,0,0,0
DE,DE262,"Schweinfurt, Kreisfreie Stadt",54.627,0,0,0,54.379,0,0
DE,DE263,"Würzburg, Kreisfreie Stadt",132.112,0,0,0,0,0,0
DE,DE264,"Aschaffenburg, Landkreis",175.009,0,0,0,0,0,0
DE,DE265,Bad Kissingen,109.135,0,0,0,0,87.651,21.484
DE,DE266,Rhön-Grabfeld,86.803,0,0,0,0,86.803,0
DE,DE267,Haßberge,88.264,0,0,0,0,88.169,0
DE,DE268,Kitzingen,89.402,0,0,0,0,35.507,0
DE,DE269,Miltenberg,131.535,0,0,0,0,0,0
DE,DE26A,Main-Spessart,132.219,0,0,0,0,132.219,0
DE,DE26B,"Schweinfurt, Landkreis",116.741,0,0,0,0,116.741,0
DE,DE26C,"Würzburg, Landkreis",159.814,0,0,0,0,0,0
DE,DE271,"Augsburg, Kreisfreie Stadt",259.179,0,0,0,0,0,0
DE,DE272,"Kaufbeuren, Kreisfreie Stadt",42.616,0,0,0,0,0,0
DE,DE273,"Kempten (Allgäu), Kreisfreie Stadt",61.546,0,0,0,0,0,0
DE,DE274,"Memmingen, Kreisfreie Stadt",41.126,0,0,0,0,0,0
DE,DE275,Aichach-Friedberg,126.101,0,0,0,0,74.86,51.241
DE,DE276,"Augsburg, Landkreis",240.386,0,0,0,0,0,0
DE,DE277,Dillingen a.d. Donau,95.195,0,0,0,0,0,0
DE,DE278,Günzburg,122.737,0,0,0,0,0,0
DE,DE279,Neu-Ulm,162.62,0,0,0,0,0,0
DE,DE27A,Lindau (Bodensee),78.429,0,0,0,0,0,0
DE,DE27B,Ostallgäu,133.466,0,0,0,0,0,0
DE,DE27C,Unterallgäu,135.529,0,0,0,0,0,0
DE,DE27D,Donau-Ries,131.005,0,0,0,0,65.975,20.077
DE,DE27E,Oberallgäu,149.188,0,0,0,0,127.682,21.506
DE,DE300,Berlin,3389.869,0,0,0,1080.004,0,1013.269
DE,DE411,"Frankfurt (Oder), Kreisfreie Stadt",67.671,67.671,0,0,0,0,0
DE,DE412,Barnim,173.137,173.137,0,0,0,0,0
DE,DE413,Märkisch-Oderland,191.171,191.171,0,0,0,0,0
DE,DE414,Oberhavel,196.193,196.193,0,0,0,0,0
DE,DE415,Oder-Spree,193.583,193.583,0,0,0,0,0
DE,DE416,Ostprignitz-Ruppin,110.514,110.514,0,0,0,0,0
DE,DE417,Prignitz,91.914,91.914,0,0,0,0,0
DE,DE418,Uckermark,144.538,144.538,0,0,0,0,0
DE,DE421,"Brandenburg an der Havel, Kreisfreie Stadt",75.368,75.368,0,0,0,0,0
DE,DE422,"Cottbus, Kreisfreie Stadt",105.68,105.68,0,0,0,0,0
DE,DE423,"Potsdam, Kreisfreie Stadt",138.173,138.173,0,0,0,0,0
DE,DE424,Dahme-Spreewald,160.021,160.021,0,0,0,0,0
DE,DE425,Elbe-Elster,126.321,126.321,0,0,0,0,0
DE,DE426,Havelland,152.376,152.376,0,0,0,0,0
DE,DE427,Oberspreewald-Lausitz,137.633,137.633,0,0,0,0,0
DE,DE428,Potsdam-Mittelmark,207.745,207.745,0,0,0,0,0
DE,DE429,Spree-Neiße,145.073,145.073,0,0,0,0,0
DE,DE42A,Teltow-Fläming,160.899,160.899,0,0,0,0,0
DE,DE501,"Bremen, Kreisfreie Stadt",543.827,0,0,0,215.163,0,326.553
DE,DE502,"Bremerhaven, Kreisfreie Stadt",118.674,0,0,0,116.126,0,0
DE,DE600,Hamburg,1731.148,0,0,0,20.272,0,0
DE,DE711,"Darmstadt, Kreisfreie Stadt",139.305,0,0,0,0,0,0
DE,DE712,"Frankfurt am Main, Kreisfreie Stadt",643.468,0,0,0,0,0,0
DE,DE713,"Offenbach am Main, Kreisfreie Stadt",119.201,0,0,0,0,0,0
DE,DE714,"Wiesbaden, Kreisfreie Stadt",271.727,0,0,0,0,0,0
DE,DE715,Bergstraße,265.626,0,0,0,0,0,0
DE,DE716,Darmstadt-Dieburg,289.898,0,0,0,0,0,0
DE,DE717,Groß-Gerau,251.784,0,0,0,0,0,0
DE,DE718,Hochtaunuskreis,226.985,0,0,0,0,0,0
DE,DE719,Main-Kinzig-Kreis,409.468,0,0,0,0,0,0
DE,DE71A,Main-Taunus-Kreis,222.949,0,0,0,0,0,0
DE,DE71B,Odenwaldkreis,100.573,0,0,0,0,0,0
DE,DE71C,"Offenbach, Landkreis",337.32,0,0,0,0,0,0
DE,DE71D,Rheingau-Taunus-Kreis,185.544,0,0,0,0,0,0
DE,DE71E,Wetteraukreis,297.881,0,0,0,0,0,0
DE,DE721,"Gießen, Landkreis",255.685,0,0,0,66.05,0,0
DE,DE722,Lahn-Dill-Kreis,262.495,0,0,0,43.04,0,0
DE,DE723,Limburg-Weilburg,175.813,0,0,0,0,0,0
DE,DE724,Marburg-Biedenkopf,253.811,0,0,0,0,0,0
DE,DE725,Vogelsbergkreis,117.702,0,0,0,0,117.702,0
DE,DE731,"Kassel, Kreisfreie Stadt",194.201,0,0,0,93.87,0,98.55
DE,DE732,Fulda,219.265,0,0,0,0,49.244,0
DE,DE733,Hersfeld-Rotenburg,128.813,0,0,0,111.957,0,16.39
DE,DE734,"Kassel, Landkreis",245.561,0,0,0,56.279,0,24.027
DE,DE735,Schwalm-Eder-Kreis,192.498,0,0,0,98.537,23.342,8.811
DE,DE736,Waldeck-Frankenberg,169.987,0,0,0,32.946,113.186,23.855
DE,DE737,Werra-Meißner-Kreis,111.923,0,0,0,93.932,0,17.209
DE,DE801,"Greifswald, Kreisfreie Stadt",52.923,52.923,0,0,0,0,0
DE,DE802,"Neubrandenburg, Kreisfreie Stadt",69.687,69.687,0,0,0,0,0
DE,DE803,"Rostock, Kreisfreie Stadt",198.247,198.247,0,0,0,0,0
DE,DE804,"Schwerin, Kreisfreie Stadt",98.201,98.201,0,0,0,0,0
DE,DE805,"Stralsund, Kreisfreie Stadt",59.205,59.205,0,0,0,0,0
DE,DE806,"Wismar, Kreisfreie Stadt",45.934,45.934,0,0,0,0,0
DE,DE807,Bad Doberan,119.412,119.412,0,0,0,0,0
DE,DE808,Demmin,90.544,90.544,0,0,0,0,0
DE,DE809,Güstrow,109.177,109.177,0,0,0,0,0
DE,DE80A,Ludwigslust,130.737,130.737,0,0,0,0,0
DE,DE80B,Mecklenburg-Strelitz,85.926,85.926,0,0,0,0,0
DE,DE80C,Müritz,68.963,68.963,0,0,0,0,0
DE,DE80D,Nordvorpommern,115.812,115.812,0,0,0,0,0
DE,DE80E,Nordwestmecklenburg,120.868,120.868,0,0,0,0,0
DE,DE80F,Ostvorpommern,112.219,112.219,0,0,0,0,0
DE,DE80G,Parchim,106.115,106.115,0,0,0,0,0
DE,DE80H,Rügen,73.202,73.202,0,0,0,0,0
DE,DE80I,Uecker-Randow,80.956,80.956,0,0,0,0,0
DE,DE911,"Braunschweig, Kreisfreie Stadt",245.192,0,0,0,22.704,0,0
DE,DE912,"Salzgitter, Kreisfreie Stadt",110.317,0,0,0,71.823,0,36.757
DE,DE913,"Wolfsburg, Kreisfreie Stadt",122.507,0,0,0,30.211,0,0
DE,DE914,Gifhorn,174.25,0,0,0,130.205,0,0
DE,DE915,Göttingen,264.574,0,0,0,244.65,0,0
DE,DE916,Goslar,154.206,0,0,0,135.486,0,0
DE,DE917,Helmstedt,98.919,0,0,0,85.966,1.149,0
DE,DE918,Northeim,148.872,0,0,0,142.047,0,0
DE,DE919,Osterode am Harz,83.672,0,0,0,82.756,0,0
DE,DE91A,Peine,134.072,0,0,0,0,35.809,61.885
DE,DE91B,Wolfenbüttel,127.118,0,0,0,38.417,0,0
DE,DE922,Diepholz,214.338,0,0,0,0,131.182,83.156
DE,DE923,Hameln-Pyrmont,161.537,0,0,0,147.386,0,0
DE,DE925,Hildesheim,292.583,0,0,0,0,0,0
DE,DE926,Holzminden,80.013,0,0,0,63.412,0,0
DE,DE927,Nienburg (Weser),126.078,0,0,0,0,93.481,32.597
DE,DE928,Schaumburg,166.488,0,0,0,0,0,0
DE,DE929,Region Hannover,1126.108,0,0,0,0,0,0
DE,DE931,Celle,182.512,0,0,0,174.003,0,0
DE,DE932,Cuxhaven,206.39,0,0,0,86.352,73.782,46.256
DE,DE933,Harburg,237.754,0,0,0,0,0,0
DE,DE934,Lüchow-Dannenberg,51.686,0,0,0,51.686,0,0
DE,DE935,"Lüneburg, Landkreis",172.334,0,0,0,23.564,0,0
DE,DE936,Osterholz,112.228,0,0,0,0,0,0
DE,DE937,Rotenburg (Wümme),163.935,0,0,0,0,143.637,20.298
DE,DE938,Soltau-Fallingbostel,142.478,0,0,0,0,96.954,45.524
DE,DE939,Stade,194.494,0,0,0,0,0,0
DE,DE93A,Uelzen,97.377,0,0,0,83.467,0,13.91
DE,DE93B,Verden,133.837,0,0,0,0,0,0
DE,DE941,"Delmenhorst, Kreisfreie Stadt",76.022,0,0,0,20.01,0,0
DE,DE942,"Emden, Kreisfreie Stadt",51.389,0,0,0,45.06,0,6.329
DE,DE943,"Oldenburg (Oldenburg), Kreisfreie Stadt",157.862,0,0,0,27.799,0,0
DE,DE944,"Osnabrück, Kreisfreie Stadt",165.011,0,0,0,0,0,0
DE,DE945,"Wilhelmshaven, Kreisfreie Stadt",84.654,0,0,0,57.612,0,25.962
DE,DE946,Ammerland,113.824,0,0,0,0,89.565,24.259
DE,DE947,Aurich,189.283,0,0,0,167.968,0,21.315
DE,DE948,Cloppenburg,152.765,0,0,0,53.669,63.345,35.751
DE,DE949,Emsland,307.157,0,0,0,77.916,109.183,120.059
DE,DE94A,Friesland,101.638,0,0,0,101.638,0,0
DE,DE94B,Grafschaft Bentheim,132.592,0,0,0,0,131.652,0
DE,DE94C,Leer,164.137,0,0,0,164.137,0,0
DE,DE94D,"Oldenburg, Landkreis",124.113,0,0,0,0,94.398,29.715
DE,DE94E,"Osnabrück, Landkreis",357.396,0,0,0,0,0,0
DE,DE94F,Vechta,129.98,0,0,0,0,78.339,51.641
DE,DE94G,Wesermarsch,94.272,0,0,0,68.063,0,0
DE,DE94H,Wittmund,57.62,0,0,0,57.62,0,0
DE,DEA11,"Düsseldorf, Kreisfreie Stadt",572.101,0,0,0,0,0,0
DE,DEA12,"Duisburg, Kreisfreie Stadt",507.493,0,0,0,380.49,0,122.311
DE,DEA13,"Essen, Kreisfreie Stadt",587.389,0,0,0,0,0,583.014
DE,DEA14,"Krefeld, Kreisfreie Stadt",238.833,0,0,0,125.076,0,0
DE,DEA15,"Mönchengladbach, Kreisfreie Stadt",262.703,0,0,0,0,0,0
DE,DEA16,"Mülheim an der Ruhr,Kreisfreie Stadt",171.429,0,0,0,0,0,0
DE,DEA17,"Oberhausen, Kreisfreie Stadt",220.443,0,0,0,130.775,0,88.979
DE,DEA18,"Remscheid, Kreisfreie Stadt",118.008,0,0,0,0,0,0
DE,DEA19,"Solingen, Kreisfreie Stadt",164.614,0,0,0,0,0,0
DE,DEA1A,"Wuppertal, Kreisfreie Stadt",362.768,0,0,0,0,0,0
DE,DEA1B,Kleve,304.836,0,0,0,0,0,0
DE,DEA1C,Mettmann,507.847,0,0,0,0,0,0
DE,DEA1D,Neuss,446.324,0,0,0,0,0,0
DE,DEA1E,Viersen,303.912,0,0,0,0,0,0
DE,DEA1F,Wesel,477.612,0,0,0,254.268,0,81.11
DE,DEA21,"Aachen, Kreisfreie Stadt",252.13,0,0,0,0,0,0
DE,DEA22,"Bonn, Kreisfreie Stadt",309.934,0,0,0,0,0,0
DE,DEA23,"Köln, Kreisfreie Stadt",967.131,0,0,0,0,0,0
DE,DEA24,"Leverkusen, Kreisfreie Stadt",160.878,0,0,0,0,0,0
DE,DEA25,"Aachen, Kreis",309.368,0,0,0,0,35.93,0
DE,DEA26,Düren,272.658,0,0,0,0,51.463,0
DE,DEA27,Erftkreis,461.273,0,0,0,0,0,0
DE,DEA28,Euskirchen,192.072,0,0,0,0,76.16,46.427
DE,DEA29,Heinsberg,255.142,0,0,0,112.54,88.635,0
DE,DEA2A,Oberbergischer Kreis,290.132,0,0,0,0,0,0
DE,DEA2B,Rheinisch-Bergischer Kreis,278.38,0,0,0,0,0,0
DE,DEA2C,Rhein-Sieg-Kreis,591.053,0,0,0,0,0,0
DE,DEA31,"Bottrop, Kreisfreie Stadt",120.52,0,0,0,39.685,0,80.835
DE,DEA32,"Gelsenkirchen, Kreisfreie Stadt",273.639,0,0,0,219.846,0,50.333
DE,DEA33,"Münster, Kreisfreie Stadt",269.216,0,0,0,0,0,0
DE,DEA34,Borken,365.709,0,0,0,0,0,0
DE,DEA35,Coesfeld,219.206,0,0,0,0,0,0
DE,DEA36,Recklinghausen,652.725,0,0,0,469.473,0,147.087
DE,DEA37,Steinfurt,440.98,0,0,0,0,0,0
DE,DEA38,Warendorf,283.245,0,0,0,57.73,0,0
DE,DEA41,"Bielefeld, Kreisfreie Stadt",326.578,0,0,0,0,0,0
DE,DEA42,Gütersloh,350.048,0,0,0,0,0,0
DE,DEA43,Herford,255.508,0,0,0,0,0,0
DE,DEA44,Höxter,155.065,0,0,0,0,78.476,76.589
DE,DEA45,Lippe,364.322,0,0,0,0,0,0
DE,DEA46,Minden-Lübbecke,323.416,0,0,0,0,0,0
DE,DEA47,Paderborn,295.255,0,0,0,0,70.009,0
DE,DEA51,"Bochum, Kreisfreie Stadt",388.009,0,0,0,100.949,0,283.598
DE,DEA52,"Dortmund, Kreisfreie Stadt",590.145,0,0,0,349.896,0,237.254
DE,DEA53,"Hagen, Kreisfreie Stadt",200.54,0,0,0,0,0,198.195
DE,DEA54,"Hamm, Kreisfreie Stadt",184.738,0,0,0,113.252,0,69.863
DE,DEA55,"Herne, Kreisfreie Stadt",173.228,0,0,0,140.114,0,31.726
DE,DEA56,Ennepe-Ruhr-Kreis,347.207,0,0,0,107.397,29.272,52.81
