DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,1995,1542667,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,1996,1539002,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,1997,1542191,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,1998,1540875,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,1999,1542252,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2000,1548537,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2001,1553956,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2002,1571123,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2003,1592846,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2004,1610409,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2005,1632568,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2006,1652448,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2007,1661246,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2008,1671221,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2009,1680135,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2010,1689995,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2011,1702855,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2012,1717084,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2013,1741246,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2014,1766746,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2015,1797337,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2016,1840226,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2017,1867582,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2018,1888776,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2019,1897491,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2020,1911191,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2021,1920949,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2022,1931593,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2023,1982097,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT13:Wien,2024,2005760,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,1990,544983,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,1991,547752,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,1992,552345,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,1993,558114,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,1994,559735,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,1995,560708,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,1996,561845,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,1997,561549,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,1998,561012,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,1999,560938,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2000,560696,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2001,559571,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2002,559933,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2003,558623,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2004,558026,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2005,558926,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2006,559277,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2007,559393,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2008,559715,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2009,559462,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2010,557998,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2011,556718,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2012,556027,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2013,555473,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2014,555881,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2015,557641,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2016,560482,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2017,561077,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2018,560898,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2019,560939,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2020,561293,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2021,562089,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2022,564513,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2023,568984,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT21:Kärnten,2024,569744,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT22:Steiermark,1990,1169578,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT22:Steiermark,1991,1171663,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT22:Steiermark,1992,1177385,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT22:Steiermark,1993,1184813,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT22:Steiermark,1994,1186112,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT22:Steiermark,1995,1186136,,
ESTAT:DEMO_R_D2JAN(1.0),13/03/25 23:00:00,A:Annual,NR:Number,T:Total,TOTAL:Total,AT22:Steiermark,1996,1185538,,
